SI_SP_GRP,SP_NAME,LATIN_NAME,SPCD,MIN_HT,MEAN_HT,MAX_HT,MIN_AGE,MEAN_AGE,MAX_AGE,b0,b1,b2,b3,L,D
1,Balsam fir,Abies balsamea,12,20,47,100,15,48,120,55.02,0.0287,0.7966,-0.0221,0.05452,70.5
2,Norway spruce,Picea abies,91,50,58,72,35,50,62,57.4,0.0389,1.4957,-0.0261,0.03923,96.86
2,White spruce,Picea glauca,94,21,50,84,14,50,110,57.4,0.0389,1.4957,-0.0261,0.03923,96.86
2,Black spruce,Picea mariana,95,21,42,68,15,62,133,57.4,0.0389,1.4957,-0.0261,0.03923,96.86
2,Blue spruce,Picea pungens,96,36,36,36,31,31,31,57.4,0.0389,1.4957,-0.0261,0.03923,96.86
2,Red spruce,Picea rubens,97,20,55,106,15,70,178,57.4,0.0389,1.4957,-0.0261,0.03923,96.86
3,Red pine,Pinus resinosa,125,18,62,103,15,45,104,79.5,0.0457,1.9477,-0.0159,0.05497,180.02
4,Shortleaf pine,Pinus echinata,110,22,61,96,18,67,114,81.43,0.0467,1.3033,-0.0097,0.07813,151.31
4,Pitch pine,Pinus rigida,126,37,52,75,23,67,103,81.43,0.0467,1.3033,-0.0097,0.07813,151.31
4,Loblolly pine,Pinus taeda,131,26,68,111,14,43,108,81.43,0.0467,1.3033,-0.0097,0.07813,151.31
4,Douglas-fir spp.,Pseudotsugamenziesii ,200,24,31,38,15,16,17,81.43,0.0467,1.3033,-0.0097,0.07813,151.31
5,Eastern white pine,Pinus strobus,129,19,66,117,15,52,197,82.69,0.034,1.3968,-0.0283,0.05143,117.85
6,Virginia pine,Pinus virginiana,132,20,57,89,15,46,115,61.66,0.0875,3.2058,-0.0458,0.06785,96.23
7,Eastern hemlock,Tsuga canadensis,261,23,63,118,20,77,200,71.9,0.0203,0.8385,-0.0111,0.04012,126.87
8,Red maple,Acer rubrum,316,24,68,119,11,54,128,89.29,0.0188,0.7197,-0.0103,0.05157,100.06
8,Silver maple,Acer saccharinum,317,32,69,117,15,45,94,89.29,0.0188,0.7197,-0.0103,0.05157,100.06
9,Sugar maple,Acer saccharum,318,32,72,120,17,63,154,97.64,0.0142,0.6634,-0.011,0.05218,65.01
10,Yellow birch,Betula alleghaniensis,371,32,62,114,11,61,115,72.75,0.0222,0.694,-0.0091,0.02713,121.02
11,Paper birch,Betula papyrifera,375,27,57,99,16,51,99,59.26,0.0332,0.5767,-0.0368,0.0585,59.51
12,Bitternut hickory,Carya cordiformis,402,39,77,120,20,57,115,85.11,0.0391,1.324,-0.0205,0.05328,93.4
12,Pignut hickory,Carya glabra,403,52,78,107,40,70,106,85.11,0.0391,1.324,-0.0205,0.05328,93.4
12,Shagbark hickory,Carya ovata,407,35,77,115,21,68,206,85.11,0.0391,1.324,-0.0205,0.05328,93.4
12,Mockernut hickory,Carya alba,409,81,81,81,42,42,42,85.11,0.0391,1.324,-0.0205,0.05328,93.4
13,American beech,Fagus grandifolia,531,22,70,135,21,66,141,131.05,0.0061,0.604,-0.0038,0.04377,233.31
14,White ash,Fraxinus americana,541,24,70,125,10,51,135,91.99,0.0217,0.7561,-0.0094,0.06328,119.98
14,Black ash,Fraxinus nigra,543,29,53,106,20,51,108,91.99,0.0217,0.7561,-0.0094,0.06328,119.98
14,Green ash,Fraxinus pennsylvanica,544,26,66,106,11,45,164,91.99,0.0217,0.7561,-0.0094,0.06328,119.98
15,Yellow-poplar, Liriodendron tulipifera ,621,24,84,147,10,45,118,103.16,0.0385,1.0919,-0.023,0.07267,98.64
16,Eastern cottonwood,Populus deltoides,742,35,70,111,16,36,98,87.9,0.0184,0.534,-0.0057,0.0408,183.04
16,Bigtooth aspen,Populus grandidentata,743,33,66,102,16,40,114,87.9,0.0184,0.534,-0.0057,0.0408,183.04
16,Quaking aspen,Populus tremuloides,746,25,59,100,10,34,116,87.9,0.0184,0.534,-0.0057,0.0408,183.04
17,Black cherry,Prunus serotina,762,34,78,125,15,54,107,107.28,0.0182,0.7543,-0.0282,0.0552,43.85
18,White oak,Quercus alba,802,22,76,128,17,74,188,80.65,0.0321,1.0805,-0.0247,0.04351,100.66
19,Scarlet oak,Quercus coccinea,806,27,66,105,16,57,106,67.75,0.056,1.3487,0.01,0.04172,279.81
19,Post oak,Quercus stellata,835,29,30,31,21,46,70,67.75,0.056,1.3487,0.01,0.04172,279.81
20,Chestnut oak,Quercus prinus,832,29,70,120,16,74,160,67.34,0.0911,3.9519,0.0229,0.03269,172.07
21,Northern red oak,Quercus rubra,833,30,74,128,1,63,172,81.94,0.0276,0.7529,-0.0266,0.05407,72.68
22,Black oak,Quercus velutina,837,30,72,125,15,58,120,80.14,0.0422,1.2955,-0.0022,0.03014,180.89
