CONFIG_ID,SPECIES_SYMBOL,SPECIES_NUM,SI_EQ
S23LCS,ABBA,12,ABBA13
S23LCS,JUVI,68,JUVI03
S23LCS,LALA,71,LALA03
S23LCS,PIGL,94,PIGL05
S23LCS,PIMA,95,PIMA06
S23LCS,PIRU,97,PIMA06
S23LCS,PIBA2,105,PIBA06
S23LCS,PIEC2,110,PIEC09
S23LCS,PIPO,122,PIPO25
S23LCS,PIRE,125,PIRE08
S23LCS,PIST,129,PIST06
S23LCS,PISY,130,PIRE08
S23LCS,THOC2,241,THOC02
S23LCS,TSCA,261,TSCA02
S23LCS,ACRU,316,ACRU03
S23LCS,ACSA2,317,ACSA02
S23LCS,ACSA3,318,ACSA55
S23LCS,BEAL2,371,BEAL05
S23LCS,BEPA,375,BEPA07
S23LCS,CARYA,400,CARY02
S23LCS,CACO15,402,CARY02
S23LCS,CAGL8,403,CARY02
S23LCS,CAIL2,404,CARY02
S23LCS,CALA21,405,CARY02
S23LCS,CAOV2,407,CARY02
S23LCS,CATE9,408,CARY02
S23LCS,CAAL27,409,CARY02
S23LCS,CAPA24,410,CARY02
S23LCS,CAOV3,412,CARY02
S23LCS,CEOC,462,CEOC02
S23LCS,FAGR,531,FAGR02
S23LCS,FRAM2,541,FRAM08
S23LCS,FRNI,543,FRNI02
S23LCS,FRPE,544,FRPE02
S23LCS,JUNI,602,JUNI09
S23LCS,LIST2,611,LIST05
S23LCS,LITU,621,LITU10
S23LCS,POBA2,741,POTR07
S23LCS,PODE3,742,POPU04
S23LCS,POGR4,743,POTR07
S23LCS,POTR5,746,POTR07
S23LCS,PRSE2,762,PRSE03
S23LCS,QUAL,802,QUAL03
S23LCS,QUCO2,806,QUVE02
S23LCS,QUEL,809,QUVE02
S23LCS,QUIM,817,QUVE02
S23LCS,QUMA2,823,QUAL03
S23LCS,QUMU,826,QUAL03
S23LCS,QUNI,827,QUAL03
S23LCS,QUPA2,830,QUVE02
S23LCS,QURU,833,QURU03
S23LCS,QUST,835,QUAL03
S23LCS,QUVE,837,QUVE02
S23LCS,ROPS,901,ROPS02
S23LCS,TIAM,951,TIAM02
S23LCS,ULAM,972,ULAM03
S23LCS,ULRU,975,ULAM03
S23LCS,ULTH,977,ULAM03
S23LCS,ACFR,5154,ACRU03
S23LCS,COCO30,5600,BEAL05
S23LLS,ABBA,12,ABBA13
S23LLS,JUVI,68,JUVI03
S23LLS,LALA,71,LALA03
S23LLS,PIGL,94,PIGL05
S23LLS,PIMA,95,PIMA06
S23LLS,PINUS,100,PIST06
S23LLS,PIBA2,105,PIBA06
S23LLS,PIEC2,110,PIEC09
S23LLS,PIPO,122,PIPO25
S23LLS,PIRE,125,PIRE08
S23LLS,PIRI,126,PIRE08
S23LLS,PIST,129,PIST06
S23LLS,PISY,130,PIRE08
S23LLS,THOC2,241,THOC02
S23LLS,TSCA,261,TSCA02
S23LLS,ACRU,316,ACRU03
