CN,PLT_CN,PREV_SIT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,TREE,SPCD,DIA,HT,AGEDIA,SPGRPCD,SITREE,SIBASE,SUBP,AZIMUTH,DIST,METHOD,SITREE_EST,VALIDCD,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,CYCLE,SUBCYCLE,AGECHKCD_RMRS,AGE_DETERMINATION_METHOD_PNWRS,CCLCD_RMRS,DAMAGE_AGENT_CD1_RMRS,DAMAGE_AGENT_CD2_RMRS,DAMAGE_AGENT_CD3_RMRS,SIBASE_AGE_PNWRS,SITETRCD_RMRS,SITE_AGE_TREE_STATUS_PNWRS,SITE_AGE_TREE_TYPE_PNWRS,SITE_TREE_METHOD_PNWRS,SITREE_EQU_NO_PNWRS,TREECLCD_RMRS,TREE_ACT_RMRS,YEAR_AGE_TAKEN,SIEQN_REF_CD,SITREE_FVS,SIBASE_FVS,SIEQN_REF_CD_FVS
76905002010538,76904996010538,,2006,42,5,63,1501,1,1,129.0,12.2,42,24,4,68,50,,,,2,,1,NIMS_21,2008-03-18 12:56:00,10538,FSTROFFE,2023-02-07 10:52:28,290487,6,2,,,,,,,,,,,,,,,,,,,
76905071010538,76905067010538,,2006,42,5,63,1282,1,1,833.0,17.5,95,73,26,84,50,,,,2,,1,NIMS_21,2008-03-18 12:56:01,10538,FSTROFFE,2023-02-07 10:52:28,290487,6,2,,,,,,,,,,,,,,,,,,,
76905184010538,76905177010538,,2006,42,5,63,1615,2,2,316.0,13.8,70,58,32,66,50,,,,2,,1,NIMS_21,2008-03-18 12:56:05,10538,FSTROFFE,2023-02-07 10:52:28,290487,6,2,,,,,,,,,,,,,,,,,,,
76905183010538,76905177010538,,2006,42,5,63,1615,1,1,129.0,6.3,42,20,4,74,50,,,,2,,1,NIMS_21,2008-03-18 12:56:05,10538,FSTROFFE,2023-02-07 10:52:28,290487,6,2,,,,,,,,,,,,,,,,,,,
76905400010538,76905394010538,,2006,42,5,63,1646,1,1,833.0,11.6,70,42,26,74,50,,,,2,,1,NIMS_21,2008-03-18 12:56:11,10538,FSTROFFE,2023-02-07 10:52:28,290487,6,2,,,,,,,,,,,,,,,,,,,
76905501010538,76905496010538,,2006,42,5,63,184,1,1,541.0,15.3,83,57,36,78,50,,,,2,,1,NIMS_21,2008-03-18 12:56:13,10538,FSTROFFE,2023-02-07 10:52:28,290487,6,2,,,,,,,,,,,,,,,,,,,
76905594010538,76905590010538,,2006,42,5,63,1895,1,1,621.0,15.3,85,65,39,84,50,,,,2,,1,NIMS_21,2008-03-18 12:56:14,10538,FSTROFFE,2023-02-07 10:52:28,290487,6,2,,,,,,,,,,,,,,,,,,,
76905675010538,76905669010538,,2006,42,5,63,81,1,1,621.0,11.4,74,32,39,90,50,,,,2,,1,NIMS_21,2008-03-18 12:56:16,10538,FSTROFFE,2023-02-07 10:52:28,290487,6,2,,,,,,,,,,,,,,,,,,,
76905898010538,76905894010538,,2006,42,6,65,701,1,1,541.0,16.9,101,74,36,82,50,,,,2,,1,NIMS_21,2008-03-18 12:56:23,10538,FSTROFFE,2023-02-07 10:52:28,290487,6,2,,,,,,,,,,,,,,,,,,,
76906006010538,76906002010538,,2006,42,6,65,1532,1,1,261.0,16.2,73,97,7,57,50,,,,2,,1,NIMS_21,2008-03-18 12:56:25,10538,FSTROFFE,2023-02-07 10:52:28,290487,6,2,,,,,,,,,,,,,,,,,,,
