Species,STOCKING_SPGRPCD,b0,b1
Spruce-fir,1,0.00869,1.48
Western_larch,2,0.00454,1.73
Black_spruce,3,0.01691,1.05
Jack_pine,4,0.00946,1.59
Lodgepole_pine,5,0.00422,1.7
Shortleaf_pine,6,0.00509,1.81
Slash_pine,7,0.00458,1.91
Western_white_pine,8,0.00335,1.73
Longleaf_pine,9,0.01367,1.44
Ponderosa_pine,10,0.0025,2
Red_pine,11,0.00609,1.67
Pond_pine,12,0.00914,1.67
Eastern_white_pine,13,0.009,1.51
Loblolly_pine,14,0.0068,1.72
Douglas_fir,15,0.00769,1.54
Northern_white_cedar,16,0.00433,1.8
Eastern_hemlock,17,0.00313,2.11
Western_hemlock,18,0.00427,1.67
Redwood,19,0.00333,1.68
Red_maple,25,0.01105,1.53
Red_alder,26,0.01671,1.41
"Maple,beech,birch",27,0.00694,1.86
Paper_birch,28,0.00635,1.89
Oaks_and_hickory,29,0.01119,1.63
Black_walnut,30,0.01546,1.5
Sweetgum,31,0.00429,1.87
Aspen,32,0.01429,1.46
"Cherry,ash,yellow_poplar",33,0.02197,1.13
Basswood,35,0.00442,2.02
"Elm,ash,cottonwood",36,0.00688,1.86
