FID *,Name,Region,State,MAP_TYPE,MAP_LEVEL,PROJECT,MAP_UNIT_S,MAP_UNIT_N,SUBSECTION,ecological.section,ecological.province
1,Alaska,Pacific,AK,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null,<Nul
2,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ba,Eastern Franciscan,241,M261B,M261
3,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Df,High Cascade,246,M261D,M261
4,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Bb,Central Franciscan,252,M261B,M261
5,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Db,Shasta Valley,254,M261D,M261
6,California,Pacific,CA,ECUN,SUBS,ECOMAP07,342Bi,High Desert-Wetlands,198,342B,342
7,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ga,Klamath Lake Basins and Juniper Foot,199,M261G,M261
8,California,Pacific,CA,ECUN,SUBS,ECOMAP07,263Ab,Northern Franciscan Redwood Forest,200,263A,263
9,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ab,Gasquet Mountain Ultramafics,208,M261A,M261
10,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ad,Siskiyou Mountains,217,M261A,M261
11,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Dh,Medicine Lake Lava Flows,218,M261D,M261
12,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Gc,Fremont Pine-Fir Forest,222,M261G,M261
13,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Af,Lower Salmon Mountains,223,M261A,M261
14,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ae,Klamath River Ridges,227,M261A,M261
15,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Da,Old Cascades,232,M261D,M261
16,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ag,Upper Salmon Mountains,236,M261A,M261
17,California,Pacific,CA,ECUN,SUBS,ECOMAP07,263Am,Mount St. Helena Flows and Valleys,496,263A,263
18,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Et,Carson Range,501,M261E,M261
19,California,Pacific,CA,ECUN,SUBS,ECOMAP07,262Ai,Yolo-American Basins,512,262A,262
20,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Dl,Shingletown-Paradise,351,M261D,M261
21,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ej,Tahoe-Truckee,479,M261E,M261
22,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Bf,Ultrabasic Complex,481,M261B,M261
23,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Ad,Funeral Mountains-Greenwater Valley,781,322A,322
24,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M262Ak,Temblor Range,783,M262A,M262
25,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Ae,Panamint Valley,789,322A,322
26,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ao,Inland Siskiyous,149,M261A,M261
27,California,Pacific,CA,ECUN,SUBS,ECOMAP07,342Bb,High Lava Plains,164,342B,342
28,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Aa,Siskiyou Serpentine,178,M261A,M261
29,California,Pacific,CA,ECUN,SUBS,ECOMAP07,322Cb,Borrego Valley-West Mesa,1024,322C,322
30,California,Pacific,CA,ECUN,SUBS,ECOMAP07,263Ae,Humboldt Bay Flats and Terraces,263,263A,263
31,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Gf,Warner Mountains,264,M261G,M261
32,California,Pacific,CA,ECUN,SUBS,ECOMAP07,M261Ge,Goose Lake Basin,265,M261G,M261
