"","StandNum","REGION","FORESTNUMB","DISTRICTNU"
"1","12017_1","08","08","04"
"2","9602_1","08","08","04"
"3","11824_2","09","19","02"
"4","12752_1","09","19","02"
"5","12752_3","09","19","02"
"6","10154_1","09","19","02"
"7","14124_1","09","19","02"
"8","11979_1","09","19","02"
"9","12352_1","09","19","02"
"10","10154_2","09","19","02"
"11","12733_2","09","19","02"
"12","12733_1","09","19","02"
"13","12752_2","09","19","02"
"14","12752_4","09","19","02"
"15","9699_3","09","19","02"
"16","9699_2","09","19","02"
"17","9699_1","09","19","02"
"18","11824_3","09","19","02"
"19","11663_1","09","20","03"
"20","12834_1","09","19","02"
"21","14022_2","09","19","02"
"22","14022_1","09","19","02"
"23","12352_2","09","19","02"
"24","9003_1","09","19","02"
"25","9003_2","09","19","02"
"26","9092_1","09","19","02"
"27","9146_2","09","19","02"
"28","9151_4","09","19","02"
"29","9151_5","09","19","02"
"30","9151_6","09","19","02"
"31","9165_1","09","19","03"
"32","9176_2","09","20","03"
"33","9608_1","09","19","02"
"34","9621_1","09","20","03"
"35","10175_1","09","20","03"
"36","10350_1","09","19","02"
"37","10363_1","09","19","02"
"38","10363_4","09","19","02"
"39","10373_1","09","19","03"
"40","10742_1","09","19","03"
"41","10921_1","09","19","02"
"42","10921_2","09","19","02"
"43","11975_2","09","19","02"
"44","8792_1","09","19","03"
"45","9146_1","09","19","02"
"46","9151_7","09","19","02"
"47","9151_8","09","19","02"
"48","9176_1","09","20","03"
"49","9608_2","09","19","02"
"50","9608_4","09","19","02"
"51","9688_1","09","19","02"
"52","9705_3","09","19","02"
"53","9756_1","09","19","02"
"54","9756_2","09","19","02"
"55","10168_1","09","19","03"
"56","10168_2","09","19","03"
"57","10190_1","09","19","03"
"58","10207_1","09","19","03"
"59","10207_2","09","19","03"
"60","10207_3","09","19","03"
"61","10207_4","09","19","03"
"62","10304_1","09","19","03"
"63","10373_2","09","19","03"
"64","10373_3","09","19","03"
"65","10350_2","09","19","02"
"66","10350_3","09","19","02"
"67","10350_4","09","19","02"
"68","10363_2","09","19","02"
"69","10363_3","09","19","02"
"70","10363_5","09","19","02"
"71","10742_2","09","19","03"
"72","11846_1","09","19","02"
"73","11846_2","09","19","02"
"74","11846_3","09","19","02"
"75","11975_1","09","19","02"
"76","10190_2","09","19","02"
"77","9204_1","09","19","02"
"78","9204_2","09","19","02"
"79","9608_3","09","19","02"
"80","10175_2","09","20","03"
"81","13063_1","09","19","02"
"82","8747_1","09","19","02"
"83","9182_1","09","19","02"
"84","9182_2","09","19","02"
"85","9182_3","09","19","02"
"86","9182_4","09","19","02"
"87","9178_1","09","19","02"
"88","9705_2","09","19","02"
"89","9721_1","09","19","02"
"90","10937_1","09","19","03"
"91","10381_1","09","19","03"
"92","11570_1","09","19","02"
"93","9363_2","09","19","03"
"94","9363_1","09","19","03"
