"","PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z"
"1","10154_1_2021","10154_1",2021,"M221B","M221",40,500,0,5,24.9508974545413,12.434198072635,0.481643785092442,0.0339942263555729,82.625,5.125,40.8835287443456,-77.9519234839737,1
"2","10175_1_2021","10175_1",2021,"211G","211",40,800,0,4,28.3373289573502,9.32168433094153,0.673449101272822,0.0615513890555328,66.8571428571429,4.5,41.835087568579,-77.3946267461091,1
"3","10175_2_2021","10175_2",2021,"211G","211",40,800,0,4,22.9080203897298,10.2741271168285,0.61540261007447,0.0542020325243907,68.1428571428571,5.28571428571429,41.8342248677145,-77.391302737227,1
"4","10350_1_2021","10350_1",2021,"211G","211",40,800,0,4,25.46837159189,11.0494509544766,0.528502332436218,0.0274236302576376,63.8,4.875,41.5821371529852,-78.7109288643688,1
"5","10363_1_2021","10363_1",2021,"M221A","M221",40,500,0,2,20.7369990256915,11.408921440768,0.493451275561589,0.0310326855111059,74.5555555555556,5.11111111111111,40.489044566058,-77.9369043263652,1
"6","10363_4_2021","10363_4",2021,"M221A","M221",40,800,0,5,26.8109518469138,12.1128994817655,0.452968627726609,0.0529406728042996,84.2222222222222,4.875,40.4808111408209,-77.9372331669617,1
"7","10373_1_2021","10373_1",2021,"211G","211",40,800,0,5,20.4208597048861,9.94029670064238,0.501209838471166,0.124063159731553,62.3333333333333,4.8,41.9367655621637,-78.1048422307815,1
"8","10381_1_2021","10381_1",2021,"211G","211",40,800,0,3,28.8979183545441,11.3431105101206,0.588462415164218,0.0534449624265929,107,5.4,41.9234610105926,-77.9786746459604,1
"9","10742_1_2021","10742_1",2021,"211G","211",40,800,0,5,20.1248382652147,11.708924021047,0.604819035945769,0.0623413796662528,81.7777777777778,4.66666666666667,41.96142563379,-77.999135664768,1
"10","10921_1_2021","10921_1",2021,"M221A","M221",40,500,0,5,27.6960727417994,9.6083399959246,0.525475595824961,0.0718361252834851,84.1428571428571,5.57142857142857,40.7459908890612,-77.1000626058996,1
"11","10921_2_2021","10921_2",2021,"M221A","M221",40,500,0,5,29.4299388769046,8.70634632481498,0.707991650539284,0.0358287934188321,95.7777777777778,5.33333333333333,40.7455440783057,-77.0984458332233,1
"12","10937_1_2021","10937_1",2021,"211F","211",40,800,0,4,20.2288727195301,10.3762886326158,0.556069453262725,0.0756461588471541,73.375,5.375,41.9477833372707,-77.8731728923816,1
"13","11824_2_2021","11824_2",2021,"M221A","M221",40,500,0,6,15.9117376571619,14.3262980294068,0.344142538457195,0.097033053461793,80.7,4.6,40.6094380807729,-77.6433802863912,1
"14","11975_2_2021","11975_2",2021,"M221A","M221",40,500,0,3,26.0538275867985,9.75769885703683,0.503564805807487,0.102780421768589,76.8,4.8,40.3519953957453,-77.2025576909042,1
"15","11979_1_2021","11979_1",2021,"M221A","M221",40,500,0,5,14.1339026323215,10.9634071212317,0.328937855110003,0.0804334463174128,90.8,4.2,40.4504943325763,-76.8212042747939,1
"16","12017_1_2021","12017_1",2021,"M221A","M221",40,500,0,4,12.0965778245291,9.19271732687935,0.273464963705214,0.186246910130711,60,5.42857142857143,40.0928552881259,-77.3051566580696,1
"17","12352_1_2021","12352_1",2021,"M221A","M221",40,500,0,5,30.4854275119461,11.3882751543928,0.595422877221843,0.0516505070300398,88.3333333333333,5.22222222222222,40.5400378255589,-77.4163752792716,1
"18","12752_1_2021","12752_1",2021,"M221A","M221",40,500,0,5,43.1359502222316,11.4634720729487,0.609045286949196,0.0185174152024909,69.7,4.77777777777778,40.3479655198751,-77.2104821134461,1
"19","12752_3_2021","12752_3",2021,"M221A","M221",40,500,0,5,32.3365405762987,11.460318037953,0.487397383985612,0.0548031084320958,58.125,4.75,40.3455373544969,-77.2164550227227,1
"20","13063_1_2021","13063_1",2021,"M221A","M221",40,500,0,4,20.7495323721271,9.47063021935781,0.496020810103187,0.0364974114990094,59.4444444444444,5,40.4924192472874,-77.9489145955708,1
