,PLT_CN,PLOTID,MEASYEAR,ECOSEC,ECOPROV,OWNGRPCD,FORTYPGRP,STDORGCD,RDDISTCD,SLOPE,QMD,RD.comm,RD.sap,STDAGE,SITECLCD,Z
1,12096_1_2022,12096_1,2022,M221A,M221,40,500,0,4,21.0151933,14.03155114,0.39219506,0.032893767,70.66666667,5,1
2,14310_1_2022,14310_1,2022,M221B,M221,40,500,0,2,29.52823894,12.53282825,0.573203563,0.04027904,71.375,5.125,1
3,14334_1_2022,14334_1,2022,M221A,M221,40,500,0,4,62.82585956,10.41084444,0.54541706,0.208836579,75,5.5,1
4,14882_1_2022,14882_1,2022,M221B,M221,40,500,0,4,33.32115697,10.98248582,0.568404259,0.13935089,77.5,5.75,1
5,15382_1_2022,15382_1,2022,M221A,M221,40,500,0,4,33.58441338,11.51479529,0.518484924,0.084284653,69.875,4.75,1
6,15745_2_2022,15745_2,2022,M221B,M221,40,800,0,3,15.1780883,12.7056364,0.582404781,0.063457451,65.44444444,4.555555556,1
7,16505_1_2022,16505_1,2022,M221A,M221,40,500,0,5,13.85893611,12.48586687,0.543882106,0.065035483,68.625,5,1
8,16614_1_2022,16614_1,2022,M221A,M221,40,500,0,5,34.25936709,11.16476252,0.556427983,0.050427397,85.125,5,1
9,16796_1_2022,16796_1,2022,M221B,M221,40,500,0,4,18.94581362,10.80569471,0.595150451,0.107228205,93,4.375,1
10,16820_1_2022,16820_1,2022,M221B,M221,40,500,0,4,38.60756859,11.52391862,0.489512842,0.028767763,79.875,5.125,1
11,16847_1_2022,16847_1,2022,M221C,M221,40,500,0,4,56.8247936,13.12814985,0.349204824,0.102449287,67,4.75,1
12,17109_1_2022,17109_1,2022,M221C,M221,40,800,0,4,49.4679628,12.76725704,0.391985976,0.096140611,60.44444444,4.875,1
13,17479_1_2022,17479_1,2022,221D,221,40,500,0,5,11.83798707,11.952666,0.400945054,0.05294502,78,5.25,1
14,17657_1_2022,17657_1,2022,M221B,M221,40,800,0,5,17.33853494,13.4548089,0.769921994,0.04510314,75.11111111,4.875,1
15,17926_1_2022,17926_1,2022,211F,211,40,500,0,2,16.77262193,14.43530403,0.648053448,0.050250732,74.25,4.75,1
16,8797_1_2022,8797_1,2022,M221A,M221,40,500,0,6,16.22887425,11.75803031,0.589901712,0.033089184,89.875,5.125,1
