LOC_GRP,SPCD,SITECL1_LOW,SITECL2_LOW,SITECL3_LOW,SITECL4_LOW,SITECL5_LOW,SITECL6_LOW
S23LCS,12,99,86,60,48,40,35
S23LCS,68,150,99,80,60,50,25
S23LCS,71,150,99,90,70,50,20
S23LCS,94,150,99,90,65,45,35
S23LCS,95,150,99,80,60,50,20
S23LCS,105,150,99,90,75,59,35
S23LCS,110,99,96,75,60,48,35
S23LCS,122,99,96,75,60,48,21
S23LCS,125,99,96,75,60,48,35
S23LCS,129,99,96,75,60,48,35
S23LCS,130,99,96,75,60,48,35
S23LCS,241,150,99,90,70,47,15
S23LCS,261,99,96,75,60,48,35
S23LCS,316,,150,99,80,65,35
S23LCS,317,,150,99,80,65,35
S23LCS,318,,150,99,80,65,35
S23LCS,371,150,99,93,77,60,35
S23LCS,375,150,99,90,80,62,35
S23LCS,402,150,99,95,75,55,35
S23LCS,403,150,99,95,75,55,35
S23LCS,404,150,99,95,75,55,35
S23LCS,405,150,99,95,75,55,35
S23LCS,407,150,99,95,75,55,35
S23LCS,408,150,99,95,75,55,35
S23LCS,409,150,99,95,75,55,35
S23LCS,462,,150,99,80,65,35
S23LCS,531,150,99,93,77,60,35
S23LCS,541,,150,99,80,65,35
S23LCS,543,,150,99,80,65,35
S23LCS,544,,150,99,80,65,35
S23LCS,602,150,99,95,75,55,35
S23LCS,611,150,99,95,75,55,35
S23LCS,621,,150,99,80,65,35
S23LCS,741,150,99,90,72,55,35
S23LCS,742,,150,99,80,65,35
S23LCS,743,150,99,90,72,55,35
S23LCS,746,150,99,90,72,55,35
S23LCS,762,,150,99,80,65,35
S23LCS,802,99,96,75,60,48,35
S23LCS,806,150,99,95,75,55,35
S23LCS,809,150,99,95,75,55,35
S23LCS,817,150,99,95,75,55,35
S23LCS,823,99,96,75,60,48,35
S23LCS,826,99,96,75,60,48,35
S23LCS,830,150,99,95,75,55,35
S23LCS,833,150,99,95,75,55,35
S23LCS,835,99,96,75,60,48,35
S23LCS,837,150,99,95,75,55,35
S23LCS,901,,150,99,80,65,35
S23LCS,951,,150,99,80,65,35
S23LCS,972,,150,99,80,65,35
S23LCS,975,,150,99,80,65,35
S23LCS,977,,150,99,80,65,35
S23LLS,12,99,86,60,48,40,35
S23LLS,68,150,99,80,60,50,25
S23LLS,71,150,99,90,70,50,20
S23LLS,94,150,99,90,65,45,35
S23LLS,95,150,99,80,60,50,20
S23LLS,105,150,99,90,75,59,35
S23LLS,110,99,96,75,60,48,35
S23LLS,122,99,96,75,60,48,21
S23LLS,125,99,96,75,60,48,35
S23LLS,129,99,96,75,60,48,35
S23LLS,130,99,96,75,60,48,35
S23LLS,241,150,99,90,70,47,15
S23LLS,261,99,96,75,60,48,35
S23LLS,316,,150,99,80,65,35
S23LLS,317,,150,99,80,65,35
S23LLS,318,,150,99,80,65,35
S23LLS,371,150,99,93,77,60,35
S23LLS,375,150,99,90,80,62,35
S23LLS,402,150,99,95,75,55,35
S23LLS,403,150,99,95,75,55,35
S23LLS,404,150,99,95,75,55,35
S23LLS,405,150,99,95,75,55,35
S23LLS,407,150,99,95,75,55,35
S23LLS,408,150,99,95,75,55,35
S23LLS,409,150,99,95,75,55,35
S23LLS,462,,150,99,80,65,35
S23LLS,531,150,99,93,77,60,35
S23LLS,541,,150,99,80,65,35
S23LLS,543,,150,99,80,65,35
S23LLS,544,,150,99,80,65,35
S23LLS,602,150,99,95,75,55,35
S23LLS,611,150,99,95,75,55,35
S23LLS,621,,150,99,80,65,35
S23LLS,741,150,99,90,72,55,35
S23LLS,742,,150,99,80,65,35
S23LLS,743,150,99,90,72,55,35
S23LLS,746,150,99,90,72,55,35
S23LLS,762,,150,99,80,65,35
S23LLS,802,99,96,75,60,48,35
S23LLS,806,150,99,95,75,55,35
S23LLS,809,150,99,95,75,55,35
S23LLS,817,150,99,95,75,55,35
S23LLS,823,99,96,75,60,48,35
S23LLS,826,99,96,75,60,48,35
S23LLS,830,150,99,95,75,55,35
S23LLS,833,150,99,95,75,55,35
S23LLS,835,99,96,75,60,48,35
S23LLS,837,150,99,95,75,55,35
S23LLS,901,,150,99,80,65,35
S23LLS,951,,150,99,80,65,35
S23LLS,972,,150,99,80,65,35
S23LLS,975,,150,99,80,65,35
S23LLS,977,,150,99,80,65,35
S23LPS,12,99,86,60,48,40,35
S23LPS,68,150,99,80,60,50,25
S23LPS,71,150,99,90,70,50,20
S23LPS,94,150,99,90,65,45,35
S23LPS,95,150,99,80,60,50,20
S23LPS,105,150,99,90,75,59,35
S23LPS,110,99,96,75,60,48,35
S23LPS,122,99,96,75,60,48,21
S23LPS,125,99,96,75,60,48,35
S23LPS,129,99,96,75,60,48,35
S23LPS,130,99,96,75,60,48,35
S23LPS,241,150,99,90,70,47,15
S23LPS,261,99,96,75,60,48,35
S23LPS,316,,150,99,80,65,35
S23LPS,317,,150,99,80,65,35
S23LPS,318,,150,99,80,65,35
S23LPS,371,150,99,93,77,60,35
S23LPS,375,150,99,90,80,62,35
S23LPS,402,150,99,95,75,55,35
S23LPS,403,150,99,95,75,55,35
S23LPS,404,150,99,95,75,55,35
S23LPS,405,150,99,95,75,55,35
S23LPS,407,150,99,95,75,55,35
S23LPS,408,150,99,95,75,55,35
S23LPS,409,150,99,95,75,55,35
S23LPS,462,,150,99,80,65,35
S23LPS,531,150,99,93,77,60,35
S23LPS,541,,150,99,80,65,35
S23LPS,543,,150,99,80,65,35
S23LPS,544,,150,99,80,65,35
S23LPS,602,150,99,95,75,55,35
S23LPS,611,150,99,95,75,55,35
S23LPS,621,,150,99,80,65,35
S23LPS,741,150,99,90,72,55,35
S23LPS,742,,150,99,80,65,35
S23LPS,743,150,99,90,72,55,35
S23LPS,746,150,99,90,72,55,35
S23LPS,762,,150,99,80,65,35
S23LPS,802,99,96,75,60,48,35
S23LPS,806,150,99,95,75,55,35
S23LPS,809,150,99,95,75,55,35
S23LPS,817,150,99,95,75,55,35
S23LPS,823,99,96,75,60,48,35
S23LPS,826,99,96,75,60,48,35
S23LPS,830,150,99,95,75,55,35
S23LPS,833,150,99,95,75,55,35
S23LPS,835,99,96,75,60,48,35
S23LPS,837,150,99,95,75,55,35
S23LPS,901,,150,99,80,65,35
S23LPS,951,,150,99,80,65,35
S23LPS,972,,150,99,80,65,35
S23LPS,975,,150,99,80,65,35
S23LPS,977,,150,99,80,65,35
S24,12,,,61,46,32,18
S24,43,,,86,72,54,35
S24,68,,,,,46,21
S24,70,,,86,72,54,35
S24,71,,,61,46,32,18
S24,94,,,60,46,30,18
S24,95,,,,,50,26
S24,97,,,56,44,32,26
S24,105,,,,,57,37
S24,110,,,86,72,54,35
S24,125,,,,62,50,24
S24,128,,,86,72,54,35
S24,129,,,80,65,45,28
S24,130,,,,,57,37
S24,131,,,95,80,60,49
S24,132,,,74,67,57,41
S24,241,,,,,46,21
S24,261,,,80,65,45,28
S24,316,,,93,76,60,46
S24,317,,,93,76,60,46
S24,318,,,93,76,60,46
S24,371,,,92,76,59,45
S24,375,,,101,86,65,49
S24,402,,,93,76,60,46
S24,407,,,93,76,60,46
S24,531,,,93,76,60,46
S24,541,,,115,93,70,50
S24,543,,,93,76,60,46
S24,544,,,93,76,60,46
S24,611,,,119,90,75,58
S24,621,,,108,87,68,50
S24,742,,,93,76,60,46
S24,743,,,,86,55,41
S24,746,,,,86,55,41
S24,802,,,,83,64,50
S24,806,,,,83,64,50
S24,812,,,93,76,60,46
S24,813,,,93,76,60,46
S24,817,,,93,76,60,46
S24,827,,,93,76,60,46
S24,830,,,93,76,60,46
S24,832,,,,83,64,50
S24,833,,,,83,64,50
S24,835,,,93,76,60,46
S24,837,,,,83,64,50
S24,901,,,93,76,60,46
S24,951,,,93,76,60,46
S24,972,,,93,76,60,46
S33,43,,,,64,52,28
S33,107,,,,,82,54
S33,110,,104,86,72,54,38
S33,111,,,93,80,62,43
S33,121,,,,89,68,49
S33,128,,,,93,66,42
S33,129,,,80,65,45,1
S33,131,,110,95,80,60,51
S33,132,,79,74,67,57,44
S33,611,,,119,90,75,61
S33,621,,135,108,87,68,53
S33,740,85,75,69,64,59,1
S33,742,85,75,69,64,59,1
S33,802,,,,,67,44
S33,804,115,99,89,74,60,48
S33,806,,,,,67,44
S33,808,,,,,67,44
S33,812,,,,,67,44
S33,813,115,98,82,71,59,54
S33,817,,,,,67,44
S33,820,,,,,67,44
S33,822,,,,,67,44
S33,823,,,,,67,44
S33,825,115,99,89,74,60,48
S33,826,,,,,67,44
S33,827,115,99,89,74,60,48
S33,830,,,,,67,44
S33,831,,,,,67,44
S33,832,,,,,67,44
S33,833,,,,,67,44
S33,834,,,,,67,44
S33,835,,,,,67,44
S33,836,,,,,67,44
S33,837,,,,,67,44
