FIPS,State,FRA_Region,FRA_Region_abbr
1,Alabama,South Central,SC
2,Alaska,Pacific Northwest (west),PWW
4,Arizona,Rocky Mountain,RM
5,Arkansas,South Central,SC
6,California,Pacific Southwest,PSW
8,Colorado,Rocky Mountain,RM
9,Connecticut,Northeast,NE
10,Delaware,Northeast,NE
12,Florida,Southeast,SE
13,Georgia,Southeast,SE
15,Hawaii,Pacific Southwest,PSW
16,Idaho,Rocky Mountain,RM
17,Illinois,North Central,NC
18,Indiana,North Central,NC
19,Iowa,North Central,NC
20,Kansas,Other West,OW
21,Kentucky,South Central,SC
22,Louisiana,South Central,SC
23,Maine,Northeast,NE
24,Maryland,Northeast,NE
25,Massachusetts,Northeast,NE
26,Michigan,North Central,NC
27,Minnesota,North Central,NC
28,Mississippi,South Central,SC
29,Missouri,North Central,NC
30,Montana,Rocky Mountain,RM
31,Nebraska,Other West,OW
32,Nevada,Rocky Mountain,RM
33,New Hampshire,Northeast,NE
34,New Jersey,Northeast,NE
35,New Mexico,Rocky Mountain,RM
36,New York,Northeast,NE
37,North Carolina,Southeast,SE
38,North Dakota,Other West,OW
39,Ohio,Northeast,NE
40,Oklahoma,South Central,SC
41,Oregon,Pacific Northwest (east),PWE
42,Pennsylvania,Northeast,NE
44,Rhode Island,Northeast,NE
45,South Carolina,Southeast,SE
46,South Dakota,Other West,OW
47,Tennessee,South Central,SC
48,Texas,South Central,SC
49,Utah,Rocky Mountain,RM
50,Vermont,Northeast,NE
51,Virginia,Southeast,SE
53,Washington,Pacific Northwest (east),PWE
54,West Virginia,Northeast,NE
55,Wisconsin,North Central,NC
56,Wyoming,Rocky Mountain,RM
