"PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z","dist","Mahalanobis.Distance","inv.Mahalanobis.Distance","weight","treat_PLT_CN","treat_PLOTID"
"10921_1_2021","10921_1","2021","M221A","M221","40","500","0","5","27.6960727417994","9.6083399959246","0.525475595824961","0.0718361252834851","84.1428571428571","5.57142857142857","40.7459908890612","-77.1000626058996","1","0",NA,NA,NA,"10921_1_2021","10921_1"
"171959260020004","42.127.6161","2015","M221A","M221","40","500","0","4","25","10.0388185952272","0.586927291767569","0.126459119950757","70","5","41.581609","-75.452042","0","103.49315231211","1.64559559160716","60.7682716883895","0.0912544188978031","10921_1_2021","10921_1"
"251021876489998","42.89.1536","2016","M221A","M221","40","500","0","5","29","10.0711910362622","0.575282871451578","0.104861887236974","96","6","40.98694","-75.44567","0","88.2438307954649","1.37178598185764","72.8976686761171","0.109468875931758","10921_1_2021","10921_1"
"306336293489998","54.27.1779","2016","M221A","M221","40","500","0","5","32","9.76867631959607","0.491958763357521","0.159931855622751","83","6","39.462466","-78.534976","0","116.708610049485","1.67298474110835","59.7734082940591","0.0897604537345705","10921_1_2021","10921_1"
"375841202489998","42.99.112","2017","M221A","M221","40","500","0","6","40","11.9588518650845","0.678791247039855","0.00793009380501551","107","6","40.53404","-77.05361","0","14.8273607982748","1.70883816725415","58.5192921812398","0.0878771742874843","10921_1_2021","10921_1"
"464514694489998","42.81.6106","2018","M221A","M221","40","500","0","4","16","10.952236368956","0.556991196128822","0.0278460725459034","86","5","41.163923","-76.989171","0","29.4172336224143","1.48191011430073","67.4804760659773","0.101333993204951","10921_1_2021","10921_1"
"464515051489998","42.97.1981","2018","M221A","M221","40","500","0","5","43","10.3099466535962","0.680711877471226","0","88","6","40.76371","-76.72505","0","19.715794190075","1.48180161510169","67.4854170631591","0.101341412995149","10921_1_2021","10921_1"
"511231736126144","42.79.5616","2019","M221A","M221","40","500","0","4","11","9.74067759450029","0.434433395902583","0.0938834359579605","74","5","41.004195","-76.218791","0","49.4781708430089","1.65910978901518","60.2732867120013","0.090511110504649","10921_1_2021","10921_1"
"618638143126144","42.61.3625","2020","M221A","M221","40","500","0","4","26","10.0862799623182","0.459728392147828","0","97","5","40.536485","-77.854254","0","42.195089724614","1.60238682739302","62.4069034333572","0.0937151172774","10921_1_2021","10921_1"
"618638146126144","42.61.6002","2020","M221A","M221","40","500","0","5","30","10.7918123726144","0.549616541876543","0.149663173436163","81","5","40.316647","-77.833099","0","48.6518737891202","1.38810086866983","72.0408741591139","0.108182245859985","10921_1_2021","10921_1"
"722438032290487","42.13.3663","2021","M221A","M221","40","500","0","5","40","10.4065784482701","0.623645533874382","0.0458075390057835","87","6","40.364338","-78.39871","0","73.2436747125216","1.18658002712845","84.2758159700378","0.126555197306251","10921_1_2021","10921_1"
"Composite Control",NA,"2018","M221A","M221","40","500","0","4.71106253440268","29.5622945483554","10.4123433992718","0.566559307093939","0.0713788247266231","86.9438171137784","5.51500311425521","40.6679210793277","-77.078610265071",NA,"58.827235641941",NA,NA,NA,"10921_1_2021","10921_1"
