"PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z"
14167117020004,"9.7.322",2014,"221A","221",40,"500",0,6,0,11.2718676358446,0.469227936376287,0.0855478340752275,80,5,41.500597,-72.36427,0
14520190020004,"24.17.1531",2014,"232A","232",40,"500",0,3,0,10.0313508561908,0.601379170250312,0.233893222858974,111,6,38.63739,-76.888813,0
14520650020004,"25.27.907",2014,"221A","221",40,"500",0,4,22,11.4704196224807,0.472384209724289,0.295982782925423,85,6,42.172373,-72.216733,0
14527768020004,"44.7.110",2014,"221A","221",40,"500",0,4,15,11.9588491952225,0.71261512042515,0.0257976116400408,87,6,41.901269,-71.561761,0
15806341020004,"36.113.6094",2014,"M211D","M211",40,"800",0,3,6,9.73413656336022,0.662263116762795,0.114139046471949,64,5,43.532814,-73.885734,0
15806424020004,"36.51.6370",2014,"222I","222",40,"800",0,4,32,7.23914024695968,0.379320716794849,0.083750446041873,36,5,42.740727,-77.656193,0
15806452020004,"36.9.1837",2014,"211G","211",40,"800",0,4,21,8.85194001929877,0.280654252336108,0.196643592415733,79,4,42.007888,-78.423887,0
15806570020004,"36.25.5472",2014,"211I","211",40,"800",0,4,38,10.8088422797528,0.580970692825065,0.0240683490683529,65,5,42.461252,-74.786577,0
15806660020004,"36.115.2385",2014,"221B","221",40,"500",0,5,7,11.2548322955076,0.590496405229771,0.169764254838879,92,6,43.197352,-73.363655,0
15806692020004,"36.115.4962",2014,"211E","211",40,"800",0,6,28,10.964835096601,0.852128791976961,0.0966362624139771,95,5,43.447665,-73.541462,0
15806707020004,"36.109.3731",2014,"222I","222",40,"500",0,5,0,10.770071700989,0.597969941454625,0.141883510599819,87,5,42.604637,-76.50109,0
15806719020004,"36.89.5090",2014,"211E","211",40,"800",0,5,55,9.56078299244217,0.418675516527073,0.106428261107878,82,5,44.362297,-75.337236,0
15806721020004,"36.89.3944",2014,"211E","211",40,"800",0,6,20,5.70409209836821,0.0402497020365518,0.152818685969298,22,6,44.523989,-75.677892,0
15806764020004,"36.7.3014",2014,"211F","211",40,"500",0,4,8,6.74351540370451,0.0382133867483056,0,25,6,42.232832,-75.659867,0
15806793020004,"36.67.1505",2014,"222I","222",40,"800",0,4,0,11.2292831472004,0.519169954844858,0.0555248111695296,60,4,43.204907,-76.433479,0
15806828020004,"36.15.3234",2014,"211F","211",40,"800",0,4,7,11.7284696358903,0.663716300841012,0.0575573587820425,72,4,42.2201,-76.707273,0
15806844020004,"36.33.438",2014,"M211D","M211",40,"800",0,6,18,8.90926484060273,0.611480647827863,0.124857289387103,76,5,44.742224,-74.363231,0
15806854020004,"36.67.1588",2014,"222I","222",40,"800",0,4,40,14.1664147790578,0.802767356451519,0.14286513733446,100,5,42.831572,-76.109874,0
15806859020004,"36.23.3248",2014,"211F","211",40,"800",0,5,18,11.0761003968003,0.579154875947804,0.178655098659764,61,6,42.491551,-76.174918,0
15806881020004,"36.101.3938",2014,"222I","222",40,"500",0,5,4,7.8681611055998,0.572260183695222,0.216767709243357,40,5,42.401886,-77.156531,0
15806900020004,"36.43.4802",2014,"211J","211",40,"800",0,5,0,8.76246365075309,0.58608698962925,0.013524561724386,48,4,43.25075,-74.984355,0
15806903020004,"36.43.4657",2014,"211J","211",40,"800",0,5,23,8.44610363816752,0.350749047145548,0.158223199986411,44,5,43.030219,-75.130294,0
15806926020004,"36.89.749",2014,"211E","211",40,"500",0,6,12,7.89368754324004,0.448203986729419,0.0401264344382403,58,5,44.515407,-75.396957,0
15806965020004,"36.65.1844",2014,"222I","222",40,"800",0,6,12,10.1957193129123,0.494813637124107,0.0485111675590881,64,5,43.311393,-75.852651,0
15806995020004,"36.25.4654",2014,"211I","211",40,"800",0,2,18,8.98950004789538,0.385617957066079,0.272995913540039,55,4,42.187622,-75.313323,0
15807059020004,"36.65.3924",2014,"211J","211",40,"800",0,5,39,9.74426571300856,0.48163190351424,0.0258743360752615,65,5,43.341005,-75.131345,0
15807098020004,"36.19.352",2014,"M211D","M211",40,"800",0,6,9,7.4630493273968,0.45154560192463,0.351524263406915,68,5,44.61934,-73.85157,0
15807106020004,"36.113.1899",2014,"M211D","M211",40,"800",0,5,7,8.99329878725949,0.76739678809164,0.186993591448724,82,5,43.615966,-73.831125,0
15807122020004,"36.77.1092",2014,"211F","211",40,"100",1,1,6,10.1713495344203,1.1765614048093,0.0681390667489544,55,4,42.784709,-74.938352,0
15807123020004,"36.77.620",2014,"211I","211",40,"100",0,5,30,11.9435531370887,1.05083275387215,0,78,5,42.694524,-74.801377,0
15807124020004,"36.77.3657",2014,"211I","211",40,"800",0,5,15,8.7989447419238,0.629434052237526,0.114286402342001,74,5,42.624278,-74.86679,0
15807126020004,"36.25.530",2014,"211I","211",40,"500",0,5,25,10.3715154791059,0.222012116344699,0.148196021673496,60,5,42.364994,-75.009312,0
15807127020004,"36.25.6487",2014,"211I","211",40,"800",0,4,31,9.107189966774,0.543763997686359,0.309618819743546,58,5,42.235343,-74.746244,0
15807128020004,"36.25.350",2014,"211I","211",40,"800",0,5,1,10.6504929463382,0.624844140589656,0.116982126145098,77,4,42.172286,-74.824713,0
15807155020004,"36.89.6179",2014,"211E","211",40,"800",0,4,0,7.52104119162105,0.359983067874755,0.151575263648125,46,4,44.77532,-74.687599,0
15807279020004,"36.77.6133",2014,"211F","211",40,"500",0,5,19,9.30806102257608,0.433977938417088,0.180959027877803,50,5,42.724682,-75.148552,0
15807285020004,"36.17.5329",2014,"211F","211",40,"800",0,3,8,9.69014858461091,0.800124657277325,0.190449099520175,55,5,42.466778,-75.855086,0
16232259020004,"39.11.1644",2014,"222H","222",40,"500",0,5,1,10.2829072648829,0.417641653019336,0.0811507118926896,105,4,40.813225,-84.654546,0
16232268020004,"39.85.4503",2014,"222I","222",40,"500",0,2,15,11.1947904550882,0.187709551936093,0.131835184598515,89,4,41.739239,-81.157025,0
16232285020004,"39.53.5516",2014,"221E","221",40,"500",0,4,34,9.66089318556298,0.477012548965439,0.00627435492395619,67,5,38.897654,-82.215405,0
16232286020004,"39.87.1922",2014,"221E","221",40,"800",0,3,15,12.1286392018597,0.38538014208291,0.110113559833017,36,4,38.511121,-82.401019,0
16232288020004,"39.119.2089",2014,"221E","221",40,"500",0,5,18,8.10174273191377,0.240370145820419,0.0831415888853706,46,5,39.895651,-82.081842,0
16232377020004,"39.173.3175",2014,"222U","222",40,"800",0,5,0,13.8647892501971,0.649787761682437,0.0590753842884556,78,5,41.380003,-83.524386,0
16232387020004,"39.95.3933",2014,"222U","222",40,"500",0,1,6,13.6533093842796,0.390511327878631,0,109,4,41.710503,-83.715454,0
16232632020004,"39.39.3977",2014,"222U","222",40,"500",0,3,5,6.9864677561209,0.515469203620566,0.0325265856690641,75,6,41.330893,-84.328608,0
16232707020004,"39.81.4544",2014,"221E","221",40,"500",0,5,24,10.6050348752789,0.635107741142927,0.0640883079299649,76,5,40.402377,-80.669152,0
